Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Tax status","In stock?",Stock,"Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global"
simple,MAX801,"HARMONIC COLOR NATURAL1",1,0,visible,"Professional Italian Hair Care: HARMONIC COLOR NATURAL1","HARMONIC COLOR NATURAL1",taxable,1,100,0,0,,,,,1,,,6751.745,"Maxy Look > Technical & Coloring","Maxy Look, Technical & Coloring, Italian Cosmetics",,"https://italiacosmetics.com/wp-content/uploads/2026/04/MAX801-HARMONIC-COLOR-NATURAL1.png",,,,,,,,,0,,,,
simple,MAX803,"HARMONIC COLOR NATURAL3",1,0,visible,"Professional Italian Hair Care: HARMONIC COLOR NATURAL3","HARMONIC COLOR NATURAL3",taxable,1,100,0,0,,,,,1,,,6751.745,"Maxy Look > Technical & Coloring","Maxy Look, Technical & Coloring, Italian Cosmetics",,"https://italiacosmetics.com/wp-content/uploads/2026/04/MAX803-n4-castano-100-ml.png",,,,,,,,,0,,,,
simple,MAX804,"HARMONIC COLOR NATURAL4",1,0,visible,"Professional Italian Hair Care: HARMONIC COLOR NATURAL4","HARMONIC COLOR NATURAL4",taxable,1,100,0,0,,,,,1,,,6751.745,"Maxy Look > Technical & Coloring","Maxy Look, Technical & Coloring, Italian Cosmetics",,"https://italiacosmetics.com/wp-content/uploads/2026/04/MAX804-n5-castano-chiaro-100.png",,,,,,,,,0,,,,
simple,MAX805,"HARMONIC COLOR NATURAL5",1,0,visible,"Professional Italian Hair Care: HARMONIC COLOR NATURAL5","HARMONIC COLOR NATURAL5",taxable,1,100,0,0,,,,,1,,,6751.745,"Maxy Look > Technical & Coloring","Maxy Look, Technical & Coloring, Italian Cosmetics",,"https://italiacosmetics.com/wp-content/uploads/2026/04/MAX805-n6-biondo-scuro-100-ml.png",,,,,,,,,0,,,,
simple,MAX806,"HARMONIC COLOR NATURAL6",1,0,visible,"Professional Italian Hair Care: HARMONIC COLOR NATURAL6","HARMONIC COLOR NATURAL6",taxable,1,100,0,0,,,,,1,,,6751.745,"Maxy Look > Technical & Coloring","Maxy Look, Technical & Coloring, Italian Cosmetics",,"https://italiacosmetics.com/wp-content/uploads/2026/04/MAX806-n7-biondo-100-ml.png",,,,,,,,,0,,,,
simple," MAX807","HARMONIC COLOR NATURAL7",1,0,visible,"Professional Italian Hair Care: HARMONIC COLOR NATURAL7","HARMONIC COLOR NATURAL7",taxable,1,100,0,0,,,,,1,,,6751.745,"Maxy Look > Technical & Coloring","Maxy Look, Technical & Coloring, Italian Cosmetics",,"https://italiacosmetics.com/wp-content/uploads/2026/04/MAX807-n8-biondo-chiaro-100-ml.png",,,,,,,,,0,,,,
simple,MAX808,"HARMONIC COLOR NATURAL8",1,0,visible,"Professional Italian Hair Care: HARMONIC COLOR NATURAL8","HARMONIC COLOR NATURAL8",taxable,1,100,0,0,,,,,1,,,6751.745,"Maxy Look > Technical & Coloring","Maxy Look, Technical & Coloring, Italian Cosmetics",,"https://italiacosmetics.com/wp-content/uploads/2026/04/MAX808-n9-biondo-chiarissimo-100-ml.png",,,,,,,,,0,,,,
simple,MAX809,"HARMONIC COLOR NATURAL9",1,0,visible,"Professional Italian Hair Care: HARMONIC COLOR NATURAL9","HARMONIC COLOR NATURAL9",taxable,1,100,0,0,,,,,1,,,6751.745,"Maxy Look > Technical & Coloring","Maxy Look, Technical & Coloring, Italian Cosmetics",,"https://italiacosmetics.com/wp-content/uploads/2026/04/MAX809-n10-biondo-platino-100-ml.png",,,,,,,,,0,,,,
simple,MAX810,"HARMONIC COLOR INTENSE NATURAL 1",1,0,visible,"Professional Italian Hair Care: HARMONIC COLOR INTENSE NATURAL 1","HARMONIC COLOR INTENSE NATURAL 1",taxable,1,100,0,0,,,,,1,,,6751.745,"Maxy Look > Technical & Coloring","Maxy Look, Technical & Coloring, Italian Cosmetics",,"https://italiacosmetics.com/wp-content/uploads/2026/04/MAX810-n500-castano-chiaro-naturale-intenso-100-ml.png",,,,,,,,,0,,,,
simple,MAX916,"DIRECT COLOR ETHEREAL WHITE 60ML",1,0,visible,"Professional Italian Hair Care: DIRECT COLOR ETHEREAL WHITE 60ML","DIRECT COLOR ETHEREAL WHITE 60ML",taxable,1,100,0,0,,,,,1,,,"7,107.10000","Maxy Look > Technical & Coloring","Maxy Look, Technical & Coloring, Italian Cosmetics",,"https://italiacosmetics.com/wp-content/uploads/2026/04/MAX916-direct-coloring-etherealwhite.jpg.png",,,,,,,,,0,,,,
